Usuario_Id,Edad,Genero
12730,25,F
473,25,M
1100,41,M
21426,33,M
12304,26,M
10401,20,M
17267,22,F
303,40,M
1177,29,M
13043,38,M
14443,32,F
7733,33,M
5624,30,M
10266,44,M
1406,41,M
1353,32,M
3173,30,M
3,25,F
10407,39,M
15056,32,M
17077,38,F
21327,37,F
17451,32,M
12064,43,M
6173,64,M
3363,45,M
5552,31,M
5043,26,F
12455,46,M
15661,26,F
15656,19,F
12774,34,M
6253,27,M
5720,43,M
5161,34,M
4414,41,M
17066,21,M
17071,17,F
4650,46,M
12141,28,M
17721,20,M
21472,34,M
5662,54,M
7202,42,M
4356,48,M
21354,35,F
21024,32,F
5525,47,M
21370,45,M
12661,35,M
15345,31,M
4007,25,F
5745,40,M
17435,20,M
4117,19,M
6504,27,M
13503,31,M
6470,28,M
13522,31,M
10720,26,M
7570,24,F
15221,42,M
16662,32,M
3427,25,M
13065,20,M
21555,44,M
21533,20,M
2137,25,M
12177,20,M
21437,61,M
13723,44,M
15133,47,M
21577,47,M
4337,40,M
21560,44,M
15147,25,M
4637,33,F
16214,20,M
603,40,F
15367,40,M
16131,31,M
10241,37,F
12067,27,M
21514,33,M
2467,35,F
20771,30,M
21153,30,M
10062,33,M
21233,18,M
14275,24,F
2761,42,M
2544,27,M
21605,35,M
16624,19,F
5654,38,M
21335,36,M
17347,38,M
7367,30,M
13332,51,M
3476,27,M
21662,52,F
15227,35,M
2670,52,M
21423,26,M
13453,28,M
16051,33,F
21434,25,F
21627,28,M
14724,30,M
15224,19,M
17355,31,M
127,23,M
5175,53,M
21222,27,M
21431,38,F
3003,27,F
21172,24,F
11405,24,M
5723,36,M
21566,55,M
16062,64,M
21646,30,M
21704,39,M
16200,20,F
20623,44,M
21362,33,F
20050,27,M
20307,35,F
11534,27,M
16602,36,M
7235,25,M
344,46,M
10640,39,M
1543,45,M
1551,45,M
21715,21,M
12650,52,M
21602,22,M
5651,53,F
4570,27,M
507,25,M
7414,33,M
6424,40,M
13357,40,M
15246,38,F
21563,32,F
21723,30,M
6512,28,M
306,21,F
4243,26,M
12502,32,F
12174,36,M
16665,35,M
16076,50,M
14575,20,M
21726,26,M
14127,17,M
14041,36,F
14526,36,F
21654,22,F
21720,37,F
15216,40,M
17476,36,M
21376,47,M
1452,26,M
21734,22,M
3300,27,F
1312,42,F
20163,24,F
3322,28,M
5761,24,F
405,28,M
5252,31,M
1023,29,M
14212,29,M
13704,63,M
3611,30,F
4535,25,M
10541,23,F
3121,22,F
21767,35,M
20136,45,M
20232,21,M
11765,35,M
1736,49,M
4031,33,M
10544,36,M
16401,25,F
21450,35,F
22052,37,M
21445,26,F
22060,35,F
22055,38,M
7711,41,M
11501,48,F
21461,38,M
2426,39,M
5772,42,F
12777,27,F
275,31,M
15141,27,M
537,29,M
7717,30,M
22000,28,F
20122,33,M
11154,39,M
15706,48,M
16175,25,M
11762,34,F
4067,31,M
17501,34,F
16343,31,M
17633,58,M
11162,25,F
