Date,Count
2018-06-15,10453
2018-06-16,6704
2018-06-17,4569
2018-06-18,10367
2018-06-19,9770
2018-06-20,10754
2018-06-21,8767
2018-06-22,9425
2018-06-23,6478
2018-06-24,4194
2018-06-25,9924
2018-06-26,10591
2018-06-27,8661
2018-06-28,8588
2018-06-29,8864
2018-06-30,6592
2018-07-01,5041
2018-07-02,9198
2018-07-03,10561
2018-07-04,10285
2018-07-05,10192
2018-07-06,9684
2018-07-07,6200
2018-07-08,4407
2018-07-09,9366
2018-07-10,9075
2018-07-11,9661
2018-07-12,9210
2018-07-13,9925
2018-07-14,6526
2018-07-15,4935
2018-07-16,9608
2018-07-17,10143
2018-07-18,10190
2018-07-19,10152
2018-07-20,9737
2018-07-21,6195
2018-07-22,5320
2018-07-23,9186
2018-07-24,10009
2018-07-25,9925
2018-07-26,9456
2018-07-27,9223
2018-07-28,5201
2018-07-29,5541
2018-07-30,9406
2018-07-31,9310
2018-08-01,9973
2018-08-02,9675
2018-08-03,9657
2018-08-04,6491
2018-08-05,5279
2018-08-06,8114
2018-08-07,9974
2018-08-08,10020
2018-08-09,9709
2018-08-10,8741
2018-08-11,6501
2018-08-12,5679
2018-08-13,10909
2018-08-14,11420
2018-08-15,11851
2018-08-16,10526
2018-08-17,11273
2018-08-18,6929
2018-08-19,5745
2018-08-20,11784
2018-08-21,11917
2018-08-22,11655
2018-08-23,11608
2018-08-24,10971
2018-08-25,7144
2018-08-26,5767
2018-08-27,11939
2018-08-28,11798
2018-08-29,12163
2018-08-30,10419
2018-08-31,11585
2018-09-01,7087
2018-09-02,5285
2018-09-03,11406
2018-09-04,12502
2018-09-05,12171
2018-09-06,11168
2018-09-07,10394
2018-09-08,7458
2018-09-09,5971
2018-09-10,9998
2018-09-11,11220
2018-09-12,12535
2018-09-13,11111
2018-09-14,11820
2018-09-15,7043
2018-09-16,4735
2018-09-17,11064
2018-09-18,10316
2018-09-19,10209
2018-09-20,12356
2018-09-21,11631
2018-09-22,7178
2018-09-23,5875
2018-09-24,11755
2018-09-25,12320
2018-09-26,10959
2018-09-27,10899
2018-09-28,11051
2018-09-29,6903
2018-09-30,5559
2018-10-01,11443
2018-10-02,12414
2018-10-03,12426
2018-10-04,12303
2018-10-05,10556
2018-10-06,7127
2018-10-07,5724
2018-10-08,12162
2018-10-09,12615
2018-10-10,12550
2018-10-11,12143
2018-10-12,8456
2018-10-13,7028
2018-10-14,5185
2018-10-15,12154
2018-10-16,12041
2018-10-17,12816
2018-10-18,12465
2018-10-19,11797
2018-10-20,7450
2018-10-21,5306
2018-10-22,10135
2018-10-23,11972
2018-10-24,12388
2018-10-25,12229
2018-10-26,11625
2018-10-27,7529
2018-10-28,6009
2018-10-29,12281
2018-10-30,13106
2018-10-31,13337
2018-11-01,12360
2018-11-02,8975
2018-11-03,7229
2018-11-04,3903
2018-11-05,12436
2018-11-06,12625
2018-11-07,13087
2018-11-08,12421
2018-11-09,12115
2018-11-10,8620
